AUTHOR;CHANNEL;MESSAGE
koviubi#4465;💬általános;56
koviubi#4465;💬általános;280210000makebackup
koviubi#4465;💬általános;56!getbackup
koviubi#4465;💬általános;280210000makebackup
koviubi#4465;💬általános;56!getbackup
koviubi#4465;💬általános;280210000makebackup
koviubi#4465;💬általános;+help
Poll Bot#0082;💬általános;
koviubi#4465;💬általános;+poll asdfghjklé
koviubi#4465;💬általános;+poll {asdfghjklé} [1] [6] [fh]
Poll Bot#0082;💬általános;
koviubi#4465;💬általános;56!8ball
koviubi#4465;💬általános;56!gtn
koviubi#4465;💬általános;56!gtn 10
